identifiant_commande;identifiant_client;identifiant_produit;quantite;prix_unitaire;date
OR000001;CL000001;PR000001;26;2.36;2020-12-08
OR000002;CL000002;PR000002;24;13.92;2020-12-08
OR000003;CL000003;PR000003;33;26.28;2020-12-08
OR000004;CL000004;PR000002;29;13.92;2020-12-08
OR000005;CL000005;PR000004;31;9.03;2020-12-08
OR000006;CL000006;PR000005;37;10.62;2020-12-08
OR000007;CL000007;PR000006;44;24.25;2020-12-08
OR000008;CL000001;PR000007;23;24.02;2020-12-08
OR000009;CL000008;PR000008;22;28.06;2020-12-09
OR000010;CL000009;PR000009;20;15.14;2020-12-09
OR000011;CL000004;PR000002;35;13.92;2020-12-09
OR000012;CL000010;PR000010;2;20.86;2020-12-09
OR000013;CL000011;PR000011;37;33.64;2020-12-09
OR000014;CL000012;PR000009;11;15.14;2020-12-09
OR000015;CL000013;PR000012;14;15.28;2020-12-09
OR000016;CL000004;PR000009;11;14.26;2020-12-09
OR000017;CL000004;PR000003;29;26.28;2020-12-09
OR000018;CL000014;PR000013;14;3.75;2020-12-09
OR000019;CL000015;PR000009;43;15.14;2020-12-09
OR000020;CL000016;PR000014;21;31.17;2020-12-09
OR000021;CL000017;PR000015;36;16.64;2020-12-09
OR000022;CL000011;PR000015;39;16.97;2020-12-09
OR000023;CL000018;PR000014;46;34.41;2020-12-09
OR000024;CL000005;PR000016;17;6.38;2020-12-09
OR000025;CL000019;PR000005;21;10.62;2020-12-09
OR000026;CL000016;PR000017;46;24.43;2020-12-10
OR000027;CL000015;PR000018;43;8.29;2020-12-10
OR000028;CL000020;PR000019;34;23.41;2020-12-10
OR000029;CL000021;PR000015;42;17.66;2020-12-10
OR000030;CL000005;PR000009;19;13.98;2020-12-10
OR000031;CL000022;PR000015;38;17.66;2020-12-10
OR000032;CL000023;PR000004;21;9.39;2020-12-10
OR000033;CL000003;PR000020;29;14.79;2020-12-11
OR000034;CL000005;PR000009;14;13.98;2020-12-11
OR000035;CL000019;PR000021;50;33.63;2020-12-11
OR000036;CL000019;PR000006;14;23.3;2020-12-11
OR000037;CL000024;PR000004;12;9.21;2020-12-11
OR000038;CL000008;PR000002;12;13.92;2020-12-11
OR000039;CL000022;PR000008;18;28.62;2020-12-11
OR000040;CL000013;PR000022;28;30.19;2020-12-11
OR000041;CL000005;PR000015;13;15.99;2020-12-11
OR000042;CL000009;PR000001;47;2.46;2020-12-11
OR000043;CL000025;PR000006;38;24.73;2020-12-12
OR000044;CL000026;PR000008;33;28.06;2020-12-12
OR000045;CL000027;PR000015;14;16.64;2020-12-12
OR000046;CL000006;PR000023;13;12.37;2020-12-12
OR000047;CL000028;PR000006;17;26.23;2020-12-12
OR000048;CL000022;PR000020;45;14.79;2020-12-12
OR000049;CL000029;PR000010;22;20.86;2020-12-12
OR000050;CL000005;PR000005;31;10.62;2020-12-12
OR000051;CL000025;PR000024;45;12.29;2020-12-13
OR000052;CL000030;PR000007;1;24.02;2020-12-13
OR000053;CL000031;PR000025;39;26.41;2020-12-13
OR000054;CL000005;PR000005;43;10.62;2020-12-13
OR000055;CL000032;PR000012;6;15.28;2020-12-13
OR000056;CL000020;PR000006;14;25.22;2020-12-13
OR000057;CL000033;PR000011;11;33.64;2020-12-13
OR000058;CL000005;PR000001;16;2.31;2020-12-13
OR000059;CL000016;PR000026;34;10.93;2020-12-13
OR000060;CL000034;PR000020;5;14.79;2020-12-14
OR000061;CL000001;PR000013;2;3.61;2020-12-14
OR000062;CL000035;PR000002;39;14.2;2020-12-14
OR000063;CL000036;PR000027;23;31.83;2020-12-14
OR000064;CL000031;PR000013;27;3.99;2020-12-14
OR000065;CL000029;PR000005;35;10.62;2020-12-14
OR000066;CL000037;PR000001;46;2.51;2020-12-14
OR000067;CL000038;PR000011;36;33.64;2020-12-14
OR000068;CL000039;PR000006;13;24.25;2020-12-14
OR000069;CL000040;PR000018;37;8.29;2020-12-14
OR000070;CL000026;PR000016;43;6.38;2020-12-15
OR000071;CL000041;PR000013;49;3.83;2020-12-15
OR000072;CL000039;PR000016;16;6.64;2020-12-15
OR000073;CL000042;PR000028;41;2.53;2020-12-15
OR000074;CL000005;PR000007;19;24.02;2020-12-15
OR000075;CL000006;PR000002;7;13.92;2020-12-15
OR000076;CL000026;PR000015;30;15.99;2020-12-15
OR000077;CL000043;PR000001;40;2.46;2020-12-15
OR000078;CL000044;PR000006;14;24.25;2020-12-16
OR000079;CL000045;PR000028;14;2.53;2020-12-16
OR000080;CL000005;PR000006;20;20.69;2020-12-16
OR000081;CL000046;PR000023;18;13.13;2020-12-16
OR000082;CL000016;PR000015;47;15.99;2020-12-16
OR000083;CL000004;PR000028;26;2.53;2020-12-16
OR000084;CL000002;PR000008;44;28.62;2020-12-16
OR000085;CL000047;PR000006;9;26.23;2020-12-17
OR000086;CL000005;PR000015;32;15.99;2020-12-17
OR000087;CL000048;PR000013;24;4.07;2020-12-17
OR000088;CL000042;PR000023;13;12.37;2020-12-17
OR000089;CL000010;PR000025;34;26.41;2020-12-17
OR000090;CL000005;PR000004;40;9.03;2020-12-17
OR000091;CL000039;PR000026;41;11.15;2020-12-17
OR000092;CL000049;PR000014;23;34.41;2020-12-17
OR000093;CL000050;PR000009;39;14.84;2020-12-17
OR000094;CL000015;PR000006;6;25.72;2020-12-18
OR000095;CL000016;PR000008;35;28.06;2020-12-18
OR000096;CL000019;PR000017;36;24.43;2020-12-18
OR000097;CL000005;PR000013;38;3.54;2020-12-18
OR000098;CL000051;PR000014;25;34.41;2020-12-18
OR000099;CL000030;PR000008;44;28.62;2020-12-18
OR000100;CL000051;PR000011;44;33.64;2020-12-18
OR000101;CL000052;PR000014;27;33.08;2020-12-18
OR000102;CL000053;PR000010;50;21.28;2020-12-18
OR000103;CL000005;PR000015;3;15.99;2020-12-18
OR000104;CL000031;PR000023;18;13.13;2020-12-18
OR000105;CL000054;PR000029;13;26.85;2020-12-19
OR000106;CL000055;PR000021;13;33.63;2020-12-19
OR000107;CL000026;PR000006;32;21.95;2020-12-19
OR000108;CL000050;PR000009;13;14.84;2020-12-19
OR000109;CL000017;PR000014;29;34.41;2020-12-19
OR000110;CL000034;PR000020;30;14.79;2020-12-19
OR000111;CL000056;PR000013;48;3.61;2020-12-20
OR000112;CL000057;PR000027;21;33.78;2020-12-20
OR000113;CL000004;PR000020;6;14.79;2020-12-20
OR000114;CL000058;PR000030;29;12.1;2020-12-20
OR000115;CL000050;PR000005;33;10.62;2020-12-20
OR000116;CL000059;PR000012;9;15.28;2020-12-20
OR000117;CL000034;PR000028;11;2.53;2020-12-21
OR000118;CL000060;PR000018;30;8.29;2020-12-21
OR000119;CL000003;PR000001;39;2.31;2020-12-21
OR000120;CL000003;PR000006;23;22.84;2020-12-21
OR000121;CL000061;PR000009;50;15.14;2020-12-21
OR000122;CL000001;PR000023;16;12.13;2020-12-21
OR000123;CL000062;PR000031;23;10.28;2020-12-21
OR000124;CL000049;PR000011;11;33.64;2020-12-21
OR000125;CL000014;PR000020;20;14.79;2020-12-21
OR000126;CL000063;PR000010;17;20.86;2020-12-21
OR000127;CL000015;PR000013;4;4.07;2020-12-21
OR000128;CL000011;PR000028;5;2.53;2020-12-22
OR000129;CL000055;PR000009;41;14.26;2020-12-22
OR000130;CL000005;PR000013;39;3.47;2020-12-22
OR000131;CL000018;PR000005;49;10.62;2020-12-22
OR000132;CL000008;PR000013;31;3.54;2020-12-22
OR000133;CL000046;PR000026;30;11.15;2020-12-22
OR000134;CL000064;PR000012;4;15.28;2020-12-22
OR000135;CL000010;PR000028;6;2.53;2020-12-22
OR000136;CL000005;PR000031;11;10.08;2020-12-22
OR000137;CL000005;PR000030;19;12.1;2020-12-22
OR000138;CL000065;PR000028;47;2.58;2020-12-22
OR000139;CL000054;PR000028;48;2.53;2020-12-23
OR000140;CL000005;PR000001;19;2.26;2020-12-23
OR000141;CL000016;PR000012;11;14.98;2020-12-23
OR000142;CL000002;PR000002;6;13.92;2020-12-23
OR000143;CL000023;PR000014;20;33.08;2020-12-23
OR000144;CL000066;PR000013;42;3.75;2020-12-23
OR000145;CL000067;PR000028;45;2.58;2020-12-23
OR000146;CL000001;PR000019;49;22.5;2020-12-23
OR000147;CL000039;PR000015;14;16.64;2020-12-23
OR000148;CL000008;PR000009;32;14.26;2020-12-23
OR000149;CL000002;PR000013;15;3.61;2020-12-23
OR000150;CL000032;PR000013;42;3.75;2020-12-23
OR000151;CL000005;PR000014;25;30.56;2020-12-23
OR000152;CL000026;PR000007;7;24.02;2020-12-24
OR000153;CL000055;PR000013;27;3.61;2020-12-24
OR000154;CL000068;PR000008;17;28.62;2020-12-24
OR000155;CL000053;PR000002;2;14.2;2020-12-24
OR000156;CL000005;PR000009;18;13.98;2020-12-24
OR000157;CL000060;PR000015;31;17.66;2020-12-24
OR000158;CL000005;PR000023;8;11.66;2020-12-24
OR000159;CL000008;PR000015;1;15.99;2020-12-24
OR000160;CL000002;PR000009;34;14.84;2020-12-25
OR000161;CL000023;PR000027;37;31.83;2020-12-25
OR000162;CL000004;PR000001;37;2.31;2020-12-25
OR000163;CL000002;PR000020;17;14.79;2020-12-25
OR000164;CL000009;PR000002;41;14.2;2020-12-25
OR000165;CL000026;PR000008;27;28.06;2020-12-25
OR000166;CL000012;PR000014;34;34.41;2020-12-25
OR000167;CL000066;PR000007;5;24.02;2020-12-25
OR000168;CL000055;PR000016;5;6.38;2020-12-25
OR000169;CL000010;PR000028;6;2.53;2020-12-26
OR000170;CL000030;PR000020;43;14.79;2020-12-26
OR000171;CL000052;PR000010;17;20.86;2020-12-26
OR000172;CL000016;PR000015;49;15.99;2020-12-26
OR000173;CL000019;PR000023;26;11.89;2020-12-26
OR000174;CL000029;PR000001;33;2.41;2020-12-26
OR000175;CL000069;PR000015;14;17.66;2020-12-26
OR000176;CL000008;PR000003;12;26.28;2020-12-26
OR000177;CL000004;PR000018;15;7.97;2020-12-27
OR000178;CL000029;PR000008;31;28.62;2020-12-27
OR000179;CL000019;PR000007;22;24.02;2020-12-27
OR000180;CL000014;PR000027;48;31.83;2020-12-27
OR000181;CL000017;PR000013;19;3.75;2020-12-27
OR000182;CL000028;PR000009;23;15.14;2020-12-27
OR000183;CL000022;PR000014;36;34.41;2020-12-27
OR000184;CL000005;PR000010;26;20.86;2020-12-28
OR000185;CL000022;PR000008;32;28.62;2020-12-28
OR000186;CL000023;PR000011;26;33.64;2020-12-28
OR000187;CL000059;PR000006;24;25.72;2020-12-28
